date,Close
2020-01-02,4250.50
2020-02-01,4180.25
2020-03-01,3520.75
2020-04-01,3680.40
2020-05-01,4025.60
2020-06-01,4350.80
2020-07-01,4680.20
2020-08-01,4820.55
2020-09-01,4650.30
2020-10-01,4580.15
2020-11-01,4920.40
2020-12-01,5180.65
2021-01-04,5350.80
2021-02-01,5420.95
2021-03-01,5280.40
2021-04-01,5510.60
2021-05-01,5780.25
2021-06-01,5920.50
2021-07-01,5650.75
2021-08-01,5480.30
2021-09-01,5230.85
2021-10-01,5380.40
2021-11-01,5120.95
2021-12-01,5050.50
2022-01-03,4980.25
2022-02-01,5150.80
2022-03-01,5680.35
2022-04-01,5820.90
2022-05-01,5580.45
2022-06-01,5320.00
2022-07-01,5480.55
2022-08-01,5650.10
2022-09-01,5420.65
2022-10-01,5590.20
2022-11-01,5780.75
2022-12-01,5920.30
2023-01-02,6080.85
2023-02-01,6220.40
2023-03-01,6150.95
2023-04-01,6380.50
2023-05-01,6520.05
2023-06-01,6680.60
2023-07-01,6820.15
2023-08-01,6650.70
2023-09-01,6480.25
2023-10-01,6720.80
2023-11-01,6920.35
2023-12-01,7080.90
2024-01-02,7220.45
2024-02-01,7350.00
2024-03-01,7180.55
2024-04-01,7420.10
2024-05-01,7580.65
2024-06-01,7720.20
2024-07-01,7850.75
2024-08-01,7680.30
2024-09-01,7520.85
2024-10-01,7650.40
2024-10-24,7695.20

